race,classtype,yearssmall,hsgrad,g4math,g4reading
1,3,0,1,711,750
1,1,4,1,709,725
1,2,0,1,698,692
1,1,4,1,740,836
1,1,4,1,771,725
1,1,4,1,709,761
1,2,0,1,698,778
1,3,0,1,673,665
1,2,0,0,744,735
1,3,0,1,731,698
1,2,0,1,727,750
1,2,0,0,487,616
1,2,1,0,674,675
2,2,0,0,666,644
1,2,0,1,664,528
2,3,0,0,744,732
1,2,0,1,702,771
1,3,0,1,667,729
1,1,4,1,744,772
2,2,0,1,654,647
1,1,4,1,680,528
1,1,4,0,666,675
1,3,0,1,595,653
1,1,4,1,678,650
2,1,3,1,706,684
2,1,4,0,680,723
2,2,0,1,758,729
2,1,2,1,719,721
2,3,1,1,758,782
2,2,0,1,727,715
2,3,0,1,694,709
2,2,2,1,744,724
1,2,0,1,676,721
1,2,2,1,662,528
2,2,0,1,740,701
2,3,0,1,773,738
1,1,4,1,653,548
1,2,0,1,533,650
2,1,4,1,654,605
1,2,0,1,702,741
2,2,0,1,713,712
1,1,4,1,647,701
1,1,4,1,740,763
1,3,0,1,705,753
1,1,1,1,758,794
1,1,4,1,724,713
1,1,4,1,531,528
1,1,4,1,705,726
1,3,0,1,720,836
1,1,4,1,643,528
1,3,0,1,697,698
1,1,4,1,662,697
1,1,4,1,686,705
1,2,0,1,821,784
1,2,0,1,683,733
1,2,0,1,821,767
1,1,4,1,729,763
1,1,4,1,741,740
1,2,0,1,758,726
1,1,4,0,640,620
1,3,0,0,706,718
1,2,2,0,708,712
1,1,4,1,744,836
1,1,4,1,697,764
1,3,2,1,714,699
1,1,4,1,729,733
1,1,4,1,742,761
1,3,0,1,655,714
1,2,0,1,716,760
1,3,0,1,740,750
1,2,0,1,758,736
1,1,4,1,701,695
1,1,4,1,739,737
1,3,0,1,694,720
1,3,0,1,720,738
1,3,0,1,704,714
1,1,4,1,821,756
1,1,4,1,713,781
1,3,0,1,717,782
1,3,1,1,714,743
1,3,0,1,716,737
1,1,1,1,728,727
1,1,4,1,747,836
1,2,0,1,689,671
1,2,0,1,744,836
1,2,2,1,693,703
1,3,0,1,737,776
1,3,2,1,727,751
1,2,0,1,692,778
1,3,0,1,740,698
1,1,4,1,750,763
2,3,0,1,693,528
1,1,4,1,707,715
1,1,4,1,767,750
1,2,2,1,740,741
1,3,0,1,744,761
1,1,4,1,702,741
1,3,3,1,720,702
1,2,0,0,695,696
1,2,0,1,712,740
1,1,4,0,717,741
1,1,4,1,821,796
1,2,0,1,758,745
1,1,4,0,665,620
1,2,0,1,740,741
1,3,0,1,741,688
1,2,0,1,674,704
1,3,0,1,758,734
